[Point];[Position];[Force];[Time]
666;47.17;1063.906;T#0ms
667;47.18;1065.613;T#0ms
668;47.19;1065.083;T#0ms
669;47.2;1066.116;T#0ms
670;47.21;1064.965;T#0ms
671;47.22;1064.7839999999999;T#0ms
672;47.23;1064.906;T#0ms
673;47.24;1065.6889999999999;T#0ms
674;47.25;1065.72;T#0ms
675;47.26;1067.625;T#0ms
676;47.27;1067.854;T#0ms
677;47.28;1067.229;T#0ms
678;47.29;1068.497;T#0ms
679;47.3;1069.0339999999999;T#0ms
680;47.31;1069.4389999999999;T#0ms
681;47.32;1070.5639999999999;T#0ms
682;47.33;1070.972;T#0ms
683;47.34;1070.376;T#0ms
684;47.35;1070.771;T#0ms
685;47.36;1071.748;T#0ms
686;47.37;1071.664;T#0ms
687;47.38;1072.161;T#0ms
688;47.39;1072.9669999999999;T#0ms
689;47.4;1073.374;T#0ms
690;47.41;1073.057;T#0ms
691;47.42;1073.49;T#0ms
692;47.43;1073.448;T#0ms
693;47.44;1073.661;T#0ms
694;47.45;1074.161;T#0ms
695;47.46;1074.522;T#0ms
696;47.47;1074.411;T#0ms
697;47.48;1074.735;T#0ms
698;47.49;1075.7939999999999;T#0ms
699;47.5;1075.0510000000002;T#0ms
700;47.51;1076.185;T#0ms
701;47.52;1075.9160000000002;T#0ms
702;47.53;1075.526;T#0ms
703;47.54;1076.825;T#0ms
704;47.55;1076.7089999999998;T#0ms
705;47.56;1077.124;T#0ms
706;47.57;1077.7069999999999;T#0ms
707;47.58;1077.563;T#0ms
708;47.59;1078.172;T#0ms
709;47.6;1078.4089999999999;T#0ms
710;47.61;1078.98;T#0ms
711;47.62;1079.3239999999998;T#0ms
712;47.63;1079.9769999999999;T#0ms
713;47.64;1080.904;T#0ms
714;47.65;1080.8;T#0ms
715;47.66;1081.64;T#0ms
716;47.67;1083.019;T#0ms
717;47.68;1083.97;T#0ms
718;47.69;1085.1989999999998;T#0ms
719;47.7;1085.708;T#0ms
720;47.71;1084.812;T#0ms
721;47.72;1084.976;T#0ms
722;47.73;1085.046;T#0ms
723;47.74;1085.568;T#0ms
724;47.75;1085.8310000000001;T#0ms
725;47.76;1086.837;T#0ms
726;47.77;1086.903;T#0ms
727;47.78;1087.39;T#0ms
728;47.79;1087.112;T#0ms
729;47.8;1087.6889999999999;T#0ms
730;47.81;1087.881;T#0ms
731;47.82;1087.698;T#0ms
732;47.83;1087.781;T#0ms
733;47.84;1089.299;T#0ms
734;47.85;1089.375;T#0ms
735;47.86;1090.994;T#0ms
736;47.87;1092.6760000000002;T#0ms
737;47.88;1093.396;T#0ms
738;47.89;1093.97;T#0ms
739;47.9;1094.9260000000002;T#0ms
740;47.91;1094.847;T#0ms
